epoch,iso_utc,http_code,latency_ms,success,curl_exit,error
1771647855,2026-02-21T04:24:15Z,000,1249.435,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
1771647862,2026-02-21T04:24:22Z,000,2362.709,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
1771647869,2026-02-21T04:24:29Z,000,1252.113,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
1771647876,2026-02-21T04:24:36Z,000,1195.903,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
1771647882,2026-02-21T04:24:42Z,200,1746.831,1,0,
1771648803,2026-02-21T04:40:03Z,000,1105.213,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
1771648809,2026-02-21T04:40:09Z,000,5005.458,0,28,curl: (28) Connection timed out after 5005 milliseconds
1771648820,2026-02-21T04:40:20Z,200,1981.485,1,0,
1771648827,2026-02-21T04:40:27Z,200,688.357,1,0,
1771648833,2026-02-21T04:40:33Z,200,182.790,1,0,
1771648838,2026-02-21T04:40:38Z,200,713.170,1,0,
1771648844,2026-02-21T04:40:44Z,200,309.031,1,0,
1771648850,2026-02-21T04:40:50Z,200,396.119,1,0,
1771648855,2026-02-21T04:40:55Z,200,325.317,1,0,
1771648861,2026-02-21T04:41:01Z,200,327.096,1,0,
1771648872,2026-02-21T04:41:12Z,200,416.257,1,0,
1771648878,2026-02-21T04:41:18Z,200,451.377,1,0,
1771648883,2026-02-21T04:41:23Z,200,357.726,1,0,
1771648889,2026-02-21T04:41:29Z,200,306.045,1,0,
1771648894,2026-02-21T04:41:34Z,200,533.372,1,0,
1771648900,2026-02-21T04:41:40Z,200,354.905,1,0,
1771648906,2026-02-21T04:41:46Z,200,506.000,1,0,
1771648911,2026-02-21T04:41:51Z,200,387.100,1,0,
1771649512,2026-02-21T04:51:52Z,000,524.391,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
1771649518,2026-02-21T04:51:58Z,000,1277.736,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
1771649524,2026-02-21T04:52:04Z,000,1862.625,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
